"grid_type","shot_zone_basic","shot_zone_area","shot_zone_range","fga","fgm","fg_pct","shot_value","season","season_type"
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",109,5,0.046,3,"2003-04","Regular Season"
"League Averages","Above the Break 3","Center(C)","24+ ft.",5386,1801,0.334,3,"2003-04","Regular Season"
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",10095,3479,0.345,3,"2003-04","Regular Season"
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",9959,3409,0.342,3,"2003-04","Regular Season"
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",336,8,0.024,3,"2003-04","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",5626,2199,0.391,2,"2003-04","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",17559,6728,0.383,2,"2003-04","Regular Season"
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",2169,852,0.393,2,"2003-04","Regular Season"
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",1981,773,0.39,2,"2003-04","Regular Season"
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",5069,1919,0.379,3,"2003-04","Regular Season"
"League Averages","Mid-Range","Center(C)","16-24 ft.",6232,2360,0.379,2,"2003-04","Regular Season"
"League Averages","Mid-Range","Center(C)","8-16 ft.",1923,771,0.401,2,"2003-04","Regular Season"
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",8831,3465,0.392,2,"2003-04","Regular Season"
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",11556,4314,0.373,2,"2003-04","Regular Season"
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",10325,4063,0.394,2,"2003-04","Regular Season"
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",9436,3682,0.39,2,"2003-04","Regular Season"
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",8619,3290,0.382,2,"2003-04","Regular Season"
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",10735,3904,0.364,2,"2003-04","Regular Season"
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",59358,34542,0.582,2,"2003-04","Regular Season"
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",4499,1691,0.376,3,"2003-04","Regular Season"
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",115,2,0.017,3,"2004-05","Regular Season"
"League Averages","Above the Break 3","Center(C)","24+ ft.",5850,2027,0.346,3,"2004-05","Regular Season"
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",10956,3840,0.35,3,"2004-05","Regular Season"
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",10539,3717,0.353,3,"2004-05","Regular Season"
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",363,3,0.008,3,"2004-05","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",5303,2099,0.396,2,"2004-05","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",16703,6636,0.397,2,"2004-05","Regular Season"
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",1918,787,0.41,2,"2004-05","Regular Season"
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",1834,725,0.395,2,"2004-05","Regular Season"
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",5541,2090,0.377,3,"2004-05","Regular Season"
"League Averages","Mid-Range","Center(C)","16-24 ft.",6879,2790,0.406,2,"2004-05","Regular Season"
"League Averages","Mid-Range","Center(C)","8-16 ft.",1894,817,0.431,2,"2004-05","Regular Season"
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",10027,4066,0.406,2,"2004-05","Regular Season"
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",11101,4131,0.372,2,"2004-05","Regular Season"
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",10302,4044,0.393,2,"2004-05","Regular Season"
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",10601,4255,0.401,2,"2004-05","Regular Season"
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",8849,3516,0.397,2,"2004-05","Regular Season"
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",10381,3850,0.371,2,"2004-05","Regular Season"
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",63163,36974,0.585,2,"2004-05","Regular Season"
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",5307,2066,0.389,3,"2004-05","Regular Season"
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",110,3,0.027,3,"2005-06","Regular Season"
"League Averages","Above the Break 3","Center(C)","24+ ft.",6026,2107,0.35,3,"2005-06","Regular Season"
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",10936,3868,0.354,3,"2005-06","Regular Season"
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",10744,3774,0.351,3,"2005-06","Regular Season"
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",371,9,0.024,3,"2005-06","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",5007,2063,0.412,2,"2005-06","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",16599,6703,0.404,2,"2005-06","Regular Season"
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",1802,737,0.409,2,"2005-06","Regular Season"
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",1699,664,0.391,2,"2005-06","Regular Season"
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",5668,2184,0.385,3,"2005-06","Regular Season"
"League Averages","Mid-Range","Center(C)","16-24 ft.",6981,2746,0.393,2,"2005-06","Regular Season"
"League Averages","Mid-Range","Center(C)","8-16 ft.",1767,756,0.428,2,"2005-06","Regular Season"
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",9926,4102,0.413,2,"2005-06","Regular Season"
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",10072,3876,0.385,2,"2005-06","Regular Season"
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",9829,3960,0.403,2,"2005-06","Regular Season"
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",10594,4246,0.401,2,"2005-06","Regular Season"
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",8627,3536,0.41,2,"2005-06","Regular Season"
