"grid_type","shot_zone_basic","shot_zone_area","shot_zone_range","fga","fgm","fg_pct","shot_value"
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",159,57,0.358,2
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",186,85,0.457,2
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",821,306,0.373,3
"League Averages","Mid-Range","Center(C)","16-24 ft.",311,132,0.424,2
"League Averages","Mid-Range","Center(C)","8-16 ft.",118,54,0.458,2
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",309,115,0.372,2
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",362,147,0.406,2
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",113,40,0.354,2
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",285,131,0.46,2
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",119,39,0.328,2
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",374,164,0.439,2
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",3477,2330,0.67,2
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",745,284,0.381,3
