"grid_type","shot_zone_basic","shot_zone_area","shot_zone_range","fga","fgm","fg_pct","shot_value"
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",714,273,0.382,2
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",715,268,0.375,2
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",625,269,0.43,2
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",581,225,0.387,2
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",531,190,0.358,2
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",4260,2475,0.581,2
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",382,153,0.401,3
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",2,0,0,3
"League Averages","Above the Break 3","Center(C)","24+ ft.",509,158,0.31,3
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",945,331,0.35,3
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",860,309,0.359,3
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",41,1,0.024,3
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",451,188,0.417,2
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",982,427,0.435,2
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",157,72,0.459,2
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",150,76,0.507,2
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",472,205,0.434,3
"League Averages","Mid-Range","Center(C)","16-24 ft.",484,178,0.368,2
"League Averages","Mid-Range","Center(C)","8-16 ft.",154,70,0.455,2
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",639,255,0.399,2
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",587,236,0.402,2
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",562,237,0.422,2
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",655,261,0.398,2
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",546,222,0.407,2
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",453,175,0.386,2
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",4048,2369,0.585,2
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",442,161,0.364,3
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",6,0,0,3
"League Averages","Above the Break 3","Center(C)","24+ ft.",483,159,0.329,3
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",843,282,0.335,3
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",909,319,0.351,3
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",34,0,0,3
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",383,161,0.42,2
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",1066,460,0.432,2
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",152,61,0.401,2
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",179,79,0.441,2
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",434,167,0.385,3
"League Averages","Mid-Range","Center(C)","16-24 ft.",448,191,0.426,2
"League Averages","Mid-Range","Center(C)","8-16 ft.",137,66,0.482,2
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",524,221,0.422,2
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",584,252,0.432,2
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",521,199,0.382,2
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",605,247,0.408,2
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",471,176,0.374,2
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",452,169,0.374,2
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",4117,2406,0.584,2
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",403,161,0.4,3
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",7,0,0,3
"League Averages","Above the Break 3","Center(C)","24+ ft.",415,141,0.34,3
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",804,269,0.335,3
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",864,301,0.348,3
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",47,3,0.064,3
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",434,182,0.419,2
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",1271,465,0.366,2
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",122,40,0.328,2
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",132,58,0.439,2
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",392,137,0.349,3
"League Averages","Mid-Range","Center(C)","16-24 ft.",418,158,0.378,2
"League Averages","Mid-Range","Center(C)","8-16 ft.",138,51,0.37,2
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",612,226,0.369,2
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",579,232,0.401,2
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",384,158,0.411,2
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",565,219,0.388,2
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",480,204,0.425,2
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",555,223,0.402,2
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",3949,2297,0.582,2
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",373,138,0.37,3
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",4,0,0,3
"League Averages","Above the Break 3","Center(C)","24+ ft.",379,113,0.298,3
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",890,300,0.337,3
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",835,268,0.321,3
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",23,0,0,3
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",503,215,0.427,2
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",1205,450,0.373,2
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",172,68,0.395,2
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",173,73,0.422,2
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",438,166,0.379,3
"League Averages","Mid-Range","Center(C)","16-24 ft.",522,187,0.358,2
"League Averages","Mid-Range","Center(C)","8-16 ft.",160,58,0.363,2
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",589,233,0.396,2
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",687,281,0.409,2
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",405,153,0.378,2
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",656,256,0.39,2
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",393,143,0.364,2
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",588,226,0.384,2
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",4204,2464,0.586,2
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",414,147,0.355,3
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",6,0,0,3
"League Averages","Above the Break 3","Center(C)","24+ ft.",488,159,0.326,3
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",949,318,0.335,3
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",1035,354,0.342,3
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",35,0,0,3
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",527,216,0.41,2
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",1234,511,0.414,2
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",136,60,0.441,2
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",146,57,0.39,2
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",478,180,0.377,3
"League Averages","Mid-Range","Center(C)","16-24 ft.",473,174,0.368,2
"League Averages","Mid-Range","Center(C)","8-16 ft.",134,50,0.373,2
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",574,210,0.366,2
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",600,219,0.365,2
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",381,133,0.349,2
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",659,256,0.388,2
